## Torsion are defined with the following atomIDs:
# dihed1: ai= 1637 aj= 1639 ak= 1638 al= 1633
# dihed2: ai= 1639 aj= 1638 ak= 1633 al= 1634
# Frame#   dihed1   dihed2
720  -85.949 -172.968
721  -81.719 -172.452
722  -67.093  174.499
723  -65.720  -69.693
724  -71.391  -43.809
725  -61.867  -60.032
726  -62.992  -61.764
727  -77.418  -56.006
728  -74.745  -63.422
729  -55.978  -58.175
730  -63.829   18.842
731  -72.635   63.737
732  -64.223   41.530
733  -55.296   67.656
734  -57.704   65.271
735  -59.002   63.595
736  -60.663   48.698
737  -66.084   53.909
738  -78.583   75.395
739  -67.389   43.621
740  -75.068   62.067
741  -53.979   71.922
742  -66.935   71.897
743  -83.019   53.684
744  -80.859   55.804
745  -76.086  -27.848
746  -65.075  -57.730
747  -77.457  -50.254
748  -75.136  -72.709
749  -74.301  -62.864
750  -61.505  -55.195
751  -63.679  -45.171
752  -49.116  -55.754
753  -65.612    3.773
754  -59.500  -72.760
755  -61.795  -67.612
756  -57.404  -64.936
757  -62.165  -57.313
758  -66.211  -56.229
759  -66.286  -57.896
760  -72.254  -53.528
761  -70.674  -54.172
762  -67.397  -56.680
763  -72.243  -72.392
764  -72.124  -53.859
765  -63.630  -64.854
766  -77.582  -80.184
767  -63.251  -51.824
768  -69.969  -59.109
769  -75.103  -56.571
770  -75.691  -57.424
771   51.432  -63.485
772   63.187  -64.053
773   66.951  -55.951
774   63.063  -55.272
775   64.454  -45.851
776   77.055  -54.823
777   71.020  -50.201
778   62.963  -65.546
779   62.282  -48.661
780   52.493  -57.816
781   55.711  -67.717
782   78.374  -69.317
783   74.812  -57.817
784   84.045  -75.531
785   50.717  -67.221
786   73.480  -58.413
787   53.289  -68.697
788   58.900  -53.665
789   67.388  -56.231
790   63.104  -68.928
791   52.450  -58.070
792   73.855  -73.153
793   68.233  -56.943
794   62.315  -65.659
795   61.734  -41.301
796   71.444  -61.398
797   64.016  -57.533
798   77.807  -70.515
799   79.432  -57.325
800   58.615  -54.088
801   67.317  -59.262
802   85.838  -77.473
803   73.730  -81.649
804   65.267  -62.802
805   66.875  -71.621
806   78.672  -44.412
807   68.442  -53.323
808   47.748  -72.134
809   68.634  -61.127
810   76.864  -49.747
811   53.867  -62.200
812   65.739  -59.755
813   60.182  -66.718
814   69.474  -45.427
815   69.677  -56.641
816   56.081  -65.509
817   79.819  -64.711
818   59.866  -70.801
819   77.680  -68.795
820   71.213  -54.336
821   63.400  -65.951
822   61.540  -70.724
823   59.349  -70.062
824   60.995  -50.662
825   66.478  -46.066
826   63.733  -67.235
827   69.193  -71.470
828   68.011  -50.172
829   66.834  -68.368
830   63.312  -56.226
831   69.350  -68.136
832   64.207  -59.789
833   74.316  -68.480
834   57.110  -54.582
835   57.508  -70.291
836   69.011  -57.068
837   66.662  -30.039
838   68.137  -53.296
839   69.672  -58.565
840   57.883  -46.296
841   59.955  -67.910
842   82.191  -58.197
843   73.142  -53.349
844   56.808  -68.529
845   78.472  -54.333
846   70.608  -66.281
847   61.361  -68.048
848   57.639  -73.286
849   55.234  -58.324
850   62.125  -44.847
851   71.143  -64.339
852   69.390  -55.411
853   56.482  -54.649
854   76.642  -60.562
855   62.390  -47.631
856   54.272  -62.784
857   56.410  -43.063
858   57.739  -44.901
859   64.404  -67.598
860   71.435  -55.227
861   71.757  -62.021
862   69.169  -48.958
863   70.202  -58.931
864   51.679  -60.786
865   78.720  -65.048
866   59.428  -57.749
867   55.840  -71.085
868   68.871  -62.595
869   89.502   64.566
870   65.001   59.110
871   77.257   46.400
872   40.493   49.122
873   71.373   50.098
874   69.985   67.371
875   52.778   58.167
876   63.804   83.072
877   69.993   57.763
878   81.068   27.361
879   69.762   11.873
880   64.733   47.381
881   57.628   68.703
882   64.652   81.857
883   66.042   62.505
884   64.299   51.092
885   77.766   60.782
886   62.452   46.690
887   53.486   43.989
888   57.775  -62.344
889   84.320  -69.520
890   69.230  -54.931
891   50.977  -56.250
892   71.667  -54.843
893   75.949  -63.969
894   57.556  -69.371
895   69.409  -47.496
896   70.817  -68.789
897   77.151  -73.272
898   67.159  -64.546
899   59.383  -81.258
900   55.336  -66.601
901   62.655 -174.336
902   64.219 -167.189
903   68.644  175.695
904   55.557 -170.347
905   64.865 -178.580
906   71.024  178.569
907   71.888  169.081
908   70.632 -179.542
909   79.864 -170.506
910   74.514 -178.168
911   73.525  165.841
912   74.997  177.762
913   70.190  178.798
914   68.381 -168.952
915   67.180 -165.600
916   71.926  179.596
917   60.047  169.549
918   68.888 -177.841
919   64.519 -179.237
920   59.936  177.654
921   59.582  179.598
922   52.771  170.655
923   63.876  174.707
924   79.661  165.993
925   71.711  173.455
926   50.453  175.988
927   87.575 -175.124
928   69.411  174.328
929   74.979 -179.898
930   71.579 -169.398
931   74.127  175.573
932   62.782 -164.742
933   79.508 -169.183
934   61.614 -158.879
935   74.715 -175.123
936   61.041  178.535
937   65.308  153.345
938   71.471  179.464
939   73.335  173.332
940   66.011  175.807
941   67.164  171.855
942   76.703  171.129
943   74.284  175.791
944   67.110 -178.967
945   63.101  177.254
946   79.459 -176.008
947   58.113  -77.272
948   56.461  -60.521
949   47.186  -64.563
950   56.885  -61.603
951   65.556  -51.869
952   71.861  -59.859
953   66.714  -38.711
954   53.546  -77.568
955   75.259  -54.530
956   57.813  -55.395
957   68.704  -52.562
958   65.964  -41.803
959   73.551  -77.774
960   73.539  -58.535
961   57.360  -69.813
962   62.991  -51.687
963   72.440  -57.114
964   57.011  -58.006
965   64.569  -66.396
966   70.853  -64.255
967   56.844  -51.220
968   49.490  -55.094
969   57.025  -70.353
970   62.740  -63.129
971   55.394  -63.940
972   53.508  -42.587
973   74.886  -78.876
974   52.903  -60.812
975   63.210  -68.513
976   61.527  -75.130
977   63.275  -68.880
978   71.462  -64.628
979   63.991  -52.983
980   74.197  -60.828
981   66.826  -66.890
982   66.112  -64.637
983   56.211  -64.021
984   68.338  -83.903
985   55.434  -66.509
986   51.101  -56.422
987   64.668  -59.470
988   75.890  -43.598
989   84.827  -68.264
990   67.364  -56.863
991   64.354  -56.899
992   65.095  -73.634
993   70.860  -80.549
994   64.805  -63.269
995   80.848  -51.872
996   59.300  -66.432
997   56.695  -71.176
998   68.926  -65.886
999   59.994  -61.090
1000   73.991  -64.299
1001   61.344  -45.098
1002   64.320  -73.515
1003   60.755  -51.603
1004   56.084  -62.157
1005   65.233  -62.237
1006   81.884  -60.844
1007   77.118  -71.591
1008   68.083  -53.021
1009   52.726  -65.731
1010   69.357  -60.450
1011   73.461  -63.335
1012   71.758  -52.609
1013   57.517  -62.549
1014   71.596  -66.438
