  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      344        0.598        1.722            0      116.252      149.334      173.875
      345        0.612        1.772            0      119.241      195.105      178.524
      346        0.687        1.777            1      119.174      176.983      178.168
      347        0.542        1.749            0      118.083      179.260      177.310
      348        0.618        1.752            0      118.533      170.431      175.149
      349        0.653        1.818            0      120.297      172.733      181.883
      350        0.680        1.804            1      120.272      168.974      178.558
      351        0.725        1.766            0      118.164      156.509      180.853
      352        0.639        1.791            0      118.777      173.804      182.220
      353        0.740        1.775            1      118.520      172.514      180.087
      354        0.700        1.747            1      117.328      164.022      174.254
      355        0.590        1.751            0      118.345      171.449      175.870
      356        0.704        1.791            1      118.789      174.081      181.546
      357        0.642        1.749            0      117.859      177.658      175.063
      358        0.715        1.741            0      117.113      162.480      176.342
      359        0.685        1.749            1      118.220      177.617      176.453
      360        0.713        1.757            1      117.798      179.747      176.436
      361        0.676        1.777            1      119.278      169.947      177.452
      362        0.732        1.795            0      119.380      178.566      182.650
      363        0.627        1.793            1      118.888      177.978      181.172
      364        0.711        1.725            1      116.759      171.837      172.348
      365        0.659        1.756            0      118.202      161.627      177.238
      366        0.740        1.773            1      118.534      175.559      178.699
      367        0.621        1.813            0      120.467      176.086      182.463
      368        0.727        1.780            1      118.997      175.681      179.768
      369        0.671        1.787            1      118.503      167.886      180.758
      370        0.686        1.783            1      118.355      185.289      180.882
      371        0.635        1.776            1      118.190      174.462      179.369
      372        0.617        1.755            1      118.190      178.308      175.210
      373        0.525        1.769            1      118.186      194.899      175.916
      374        0.658        1.794            1      118.979      200.318      178.520
      375        0.701        1.749            1      117.606      204.988      175.021
      376        0.641        1.722            1      116.770      192.933      171.857
      377        0.669        1.773            1      118.322      188.192      177.738
      378        0.663        1.773            1      118.841      201.299      178.795
      379        0.637        1.741            0      116.909      178.463      175.777
      380        0.649        1.775            1      118.493      181.350      179.120
      381        0.691        1.760            0      118.088      204.044      176.517
      382        0.620        1.747            0      117.932      195.362      174.991
      383        0.608        1.759            0      117.715      171.612      179.026
      384        0.695        1.805            0      119.899      182.132      181.208
      385        0.717        1.787            0      119.359      151.127      179.796
      386        0.128        1.783            0      119.386      155.314      176.303
      387        0.283        1.793            0      119.265      153.493      184.364
      388        0.330        1.778            1      118.986      161.631      179.328
      389        0.106        1.747            1      117.571      151.778      176.330
      390        0.137        1.769            1      118.432      164.246      177.606
      391        0.116        1.762            0      117.652      157.247      175.589
      392        0.117        1.764            0      118.085      171.386      178.934
      393        0.173        1.749            0      118.260      164.178      175.942
      394        0.132        1.753            1      117.144      166.609      178.402
      395        0.222        1.741            0      118.289      155.971      173.937
      396        0.117        1.747            0      117.717      153.358      175.182
      397        0.142        1.787            0      119.143      142.637      179.211
      398        0.126        1.784            1      119.079      139.371      181.328
      399        0.140        1.774            0      119.118      140.621      176.941
      400        0.096        1.730            1      116.873      124.828      173.572
      401        0.109        1.763            1      118.446      141.691      177.227
      402        0.134        1.787            0      119.733      137.795      180.149
      403        0.213        1.745            1      118.629      146.495      174.609
      404        0.102        1.748            0      118.190      143.486      174.134
      405        0.127        1.780            1      118.847      139.601      179.705
      406        0.225        1.786            0      118.352      136.948      178.689
      407        0.135        1.735            1      117.956      140.905      172.129
      408        0.146        1.683            1      114.989      141.069      170.270
      409        0.167        1.767            0      118.595      130.457      177.640
      410        0.167        1.741            0      117.874      122.385      174.793
      411        0.149        1.776            0      119.170      136.910      179.905
      412        0.118        1.749            1      117.965      126.232      174.830
      413        0.163        1.713            0      116.887      132.019      171.754
      414        0.216        1.812            0      119.592      134.788      182.565
      415        0.326        1.782            0      119.337      131.037      179.101
      416        0.110        1.749            1      117.501      135.304      176.519
      417        0.144        1.743            1      117.609      124.698      173.765
      418        0.145        1.769            0      118.409      116.951      177.736
      419        0.171        1.774            0      118.693      131.740      180.449
      420        0.124        1.781            0      119.257      125.823      180.201
      421        0.122        1.765            0      118.399      112.970      176.765
      422        0.187        1.756            1      117.895      116.210      177.562
      423        0.148        1.785            1      119.113      112.870      178.136
      424        0.123        1.722            0      116.794      102.156      172.787
      425        0.132        1.752            0      117.188      116.704      176.091
      426        0.095        1.762            1      118.850      127.514      175.491
      427        0.102        1.761            1      118.301      128.810      176.022
      428        0.084        1.753            0      118.103      119.204      176.836
      429        0.212        1.732            0      116.817      110.907      176.894
      430        0.137        1.764            1      117.679      120.153      177.344
      431        0.126        1.762            1      118.455      114.183      177.291
      432        0.152        1.753            1      118.780      118.013      175.411
      433        0.121        1.732            1      116.573      126.897      173.950
      434        0.139        1.780            1      118.974      132.020      178.767
      435        0.268        1.768            1      118.830      132.496      177.582
      436        0.134        1.752            1      117.511      125.870      176.297
      437        0.118        1.773            0      119.360      129.360      179.528
      438        0.175        1.757            0      118.681      138.438      177.231
      439        0.095        1.762            0      119.171      143.808      175.047
      440        0.118        1.755            0      118.556      136.121      174.880
      441        0.244        1.742            0      117.704      147.752      176.799
      442        0.139        1.767            1      118.758      136.420      176.479
      443        0.091        1.746            0      117.816      146.844      175.283
      444        0.095        1.763            0      118.973      135.578      175.993
      445        0.206        1.772            0      119.669      149.864      174.642
      446        0.154        1.733            0      117.484      146.635      173.361
      447        0.217        1.769            0      119.634      137.312      179.367
      448        0.133        1.747            1      117.791      157.335      176.822
      449        0.318        1.730            0      117.503      148.051      174.763
      450        0.222        1.820            1      119.905      161.612      182.499
      451        0.117        1.778            0      119.841      156.192      178.607
      452        0.157        1.747            1      116.953      136.856      176.441
      453        0.182        1.792            0      119.708      133.124      180.964
      454        0.118        1.756            1      117.551      151.540      176.203
      455        0.232        1.779            0      119.586      151.522      179.932
      456        0.182        1.752            0      118.392      141.461      175.666
      457        0.182        1.816            1      120.562      138.528      180.878
      458        0.105        1.778            0      119.395      127.120      178.159
      459        0.132        1.732            0      117.679      127.876      173.075
      460        0.084        1.735            0      117.975      134.117      175.553
      461        0.227        1.753            0      118.312      151.247      175.410
      462        0.170        1.740            1      117.718      141.936      174.250
      463        0.185        1.775            0      119.117      136.826      179.180
      464        0.085        1.748            1      117.811      139.534      176.103
      465        0.154        1.775            1      119.250      132.547      177.453
      466        0.090        1.763            1      118.606      142.019      176.126
      467        0.215        1.800            1      118.996      148.635      183.268
      468        0.156        1.767            0      118.184      147.982      181.186
      469        0.223        1.752            0      117.402      142.780      175.562
      470        0.068        1.744            1      116.854      159.783      175.566
      471        0.157        1.801            1      119.572      168.594      180.406
      472        0.241        1.841            0      121.549      176.741      187.505
      473        0.161        1.785            1      118.552      167.969      180.442
      474        0.113        1.771            1      118.804      171.697      177.980
      475        0.130        1.748            1      117.296      156.590      173.916
      476        0.132        1.768            1      117.620      168.662      176.628
      477        0.256        1.772            1      118.195      161.345      178.772
      478        0.116        1.780            1      118.709      163.234      177.382
      479        0.103        1.750            1      117.466      167.904      175.483
      480        0.093        1.760            1      118.388      158.140      176.238
      481        0.142        1.755            0      118.447      159.650      176.226
      482        0.222        1.754            0      117.557      156.944      175.457
      483        0.149        1.795            0      119.480      160.456      178.050
      484        0.187        1.817            0      120.306      155.879      181.951
      485        0.227        1.731            0      117.376      160.797      173.486
      486        0.141        1.728            1      116.092      150.702      173.696
      487        0.310        1.767            0      117.999      148.702      180.637
      488        0.142        1.789            1      118.860      168.408      179.313
      489        0.163        1.760            0      117.493      157.953      178.108
      490        0.191        1.761            1      118.265      151.486      178.266
      491        0.132        1.772            1      117.969      167.849      178.465
      492        0.111        1.755            1      117.416      159.147      175.827
      493        0.092        1.741            1      117.281      164.905      176.785
      494        0.169        1.780            1      118.323      156.089      176.922
      495        0.174        1.788            1      118.760      155.867      179.528
      496        0.208        1.729            0      117.248      192.276      172.979
      497        0.131        1.729            1      117.045      177.248      172.886
      498        0.170        1.753            0      118.930      192.305      174.861
      499        0.192        1.780            0      119.247      180.877      179.557
      500        0.309        1.802            0      120.040      181.037      180.987
      501        0.202        1.812            0      120.943      181.141      183.125
      502        0.154        1.797            1      119.730      186.397      179.829
      503        0.174        1.801            1      120.222      175.847      180.110
      504        0.152        1.761            1      117.839      164.560      173.084
      505        0.166        1.750            1      117.431      157.951      176.955
      506        0.215        1.802            1      119.185      174.170      181.473
      507        0.109        1.770            1      117.923      170.792      177.755
      508        0.232        1.823            0      120.553      173.612      183.775
      509        0.124        1.756            1      117.820      131.953      176.988
      510        0.153        1.746            1      117.042      123.417      176.646
